question_text,question_image,choice_type,answer,choice1,choice2,choice3,choice4
Langit mendung dan adanya petir menandakan akan terjadinya?,quiz/images/1.jpg,image,2,quiz/images/1 -1.jpg,quiz/images/1-2.jpg,quiz/images/1-3.jpg,quiz/images/1-4.jpg
Manusia mencium bau menggunakan?,quiz/images/2.jpg,image,3,quiz/images/2-1.jpg,quiz/images/2-2.jpg,quiz/images/2-3.jpg,quiz/images/2-4.jpg
Adi dan Rara dapat mengambil buku menggunakan?,quiz/images/WhatsApp Image 2024-07-16 at 13.55.08_2b72fb1f.jpg,image,1,quiz/images/3-1.jpg,quiz/images/3-2.png,quiz/images/3-3.png,quiz/images/3-4.png
How many bricks do we need to fill the hole?,quiz/images/4.jpg,image,3,quiz/images/4-1.jpg,quiz/images/4-2.png,quiz/images/4-3.png,quiz/images/4-4.jpg
Berapa buah apel yang dapat dipetik?,quiz/images/5.jpg,image,4,quiz/images/5-1.png,quiz/images/5-2.jpg,quiz/images/5-3.jpg,quiz/images/5-4.jpg
Tanaman dibawah ini akan tumbuh subur apabila,quiz/images/6.png,image,2,quiz/images/6-1.jpg,quiz/images/6-2.jpg,quiz/images/6-3.jpg,quiz/images/6-4.jpg
Alat apakah yang dapat membantu Budi dan Nisa menyelesaikan tugas matematika?,quiz/images/7.jpg,image,3,quiz/images/7-1.png,quiz/images/7-2.jpg,quiz/images/7-3.jpg,quiz/images/7-4.png
Urutan bunga dari yang terbanyak adalah?,quiz/images/8.png,image,3,quiz/images/8-1.png,quiz/images/8-2.png,quiz/images/8-3.png,quiz/images/8-4.png
Berapa banyak jeruk yang diperlukan untuk mengisi kotak kosong dibawah ini,quiz/images/9.png,image,3,quiz/images/9-1.png,quiz/images/9-2.png,quiz/images/9-3.png,quiz/images/9-4.png
"Mobil-mobilan kesayangan Firman mengalami kerusakan yaitu patah hingga terbagi menjadi beberapa bagian, bahan apa yang dapat digunakan untuk memperbaiki mobil-mobilan Firman?",quiz/images/10.jpg,image,1,quiz/images/10-1.jpg,quiz/images/10-2.png,quiz/images/10-3.jpg,quiz/images/10-4.png
